date,fiscal_year,quarter,product_number,payment_type,type_of_product,quantity,price,amount,type_of_accessory/mobile
2018-04-05,2018,1,P/M/A41,CREDIT,MOBILE,1,2042.38,46419.64,PREMIUM MIDRANGE PHONE
2018-04-06,2018,1,P/A/47,CASH,ACCESSORY,1,2042.38,2033.9,WIRELESS HEADSET
2018-04-06,2018,1,P/M/A29,CASH,MOBILE,1,2042.38,1071.42,BUDGET PHONE
2018-04-06,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-06,2018,1,P/M/A74,MOBILE PAYMENTS,MOBILE,1,60125.0,60625.0,FLAGSHIP PHONE
2018-04-07,2018,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-04-07,2018,1,P/A/30,CASH,ACCESSORY,1,1363.56,1863.56,COVER
2018-04-07,2018,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
2018-04-07,2018,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-07,2018,1,P/M/A54,CREDIT,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-07,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,7973.22,8473.22,BUDGET PHONE
2018-04-07,2018,1,P/M/A74,DEBIT,MOBILE,1,60125.0,60625.0,FLAGSHIP PHONE
2018-04-08,2018,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-04-08,2018,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
2018-04-08,2018,1,P/A/47,CASH,ACCESSORY,1,1364.4,1864.4,WIRELESS HEADSET
2018-04-08,2018,1,P/A/47,CASH,ACCESSORY,1,1406.78,1906.78,WIRELESS HEADSET
2018-04-08,2018,1,P/A/47,CASH,ACCESSORY,1,1576.28,2076.28,WIRELESS HEADSET
2018-04-08,2018,1,P/M/A24,CASH,MOBILE,1,982.14,1482.14,BUDGET PHONE
2018-04-08,2018,1,P/M/A25,CREDIT,MOBILE,1,1330.36,1830.36,BUDGET PHONE
2019-05-29,2019,1,P/T/S4,DEBIT,TABLET,1,14669.5,15169.5,MIDRANGE TAB
2018-04-08,2018,1,P/M/A32,MOBILE PAYMENTS,MOBILE,1,11910.72,12410.72,BUDGET PHONE
2018-04-08,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-08,2018,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-08,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-08,2018,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-08,2018,1,P/M/A43,DEBIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-08,2018,1,P/M/A43,CREDIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-08,2018,1,P/M/A74,DEBIT,MOBILE,1,60125.0,60625.0,FLAGSHIP PHONE
2018-04-09,2018,1,P/A/47,CASH,ACCESSORY,4,1406.78,7627.12,WIRELESS HEADSET
2018-04-21,2018,1,P/M/A62,MOBILE PAYMENTS,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-04-09,2018,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-22,2018,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-04-10,2018,1,P/A/22,CREDIT,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-04-10,2018,1,P/A/47,DEBIT,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
2018-04-10,2018,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-10,2018,1,P/M/A42,DEBIT,MOBILE,1,58339.28,58839.28,FLAGSHIP PHONE
2018-04-10,2018,1,P/M/A54,CASH,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-11,2018,1,P/A/47,MOBILE PAYMENTS,ACCESSORY,2,1533.9,4067.8,WIRELESS HEADSET
2018-04-11,2018,1,P/A/51,CASH,ACCESSORY,1,431.36,931.36,WIRELESS HEADSET
2018-04-11,2018,1,P/M/A42,MOBILE PAYMENTS,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-11,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-12,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12446.42,12946.42,BUDGET PHONE
2018-04-12,2018,1,P/M/A43,CREDIT,MOBILE,1,57446.43,57946.43,FLAGSHIP PHONE
2018-04-12,2018,1,P/M/A61,DEBIT,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-04-13,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-13,2018,1,P/A/21,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
2018-04-13,2018,1,P/M/A24,MOBILE PAYMENTS,MOBILE,1,973.22,1473.22,BUDGET PHONE
2018-04-13,2018,1,P/M/A25,MOBILE PAYMENTS,MOBILE,1,1285.72,1785.72,BUDGET PHONE
2018-05-02,2018,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-04-13,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12446.42,12946.42,BUDGET PHONE
2018-04-13,2018,1,P/M/A54,DEBIT,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-14,2018,1,P/A/48,DEBIT,ACCESSORY,1,770.34,1270.34,WIRELESS HEADSET
2018-04-14,2018,1,P/M/A23,CASH,MOBILE,1,727.68,1227.68,BUDGET PHONE
2018-04-14,2018,1,P/M/A24,CASH,MOBILE,1,982.14,1482.14,BUDGET PHONE
2018-04-14,2018,1,P/M/A24,CASH,MOBILE,1,973.22,1473.22,BUDGET PHONE
2018-04-14,2018,1,P/M/A25,CASH,MOBILE,1,1285.72,1785.72,BUDGET PHONE
2018-04-14,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-14,2018,1,P/M/A54,MOBILE PAYMENTS,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-05-03,2018,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-06-17,2018,1,P/M/A62,CREDIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-04-15,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-15,2018,1,P/M/A19,CASH,MOBILE,1,30741.08,31241.08,PREMIUM MIDRANGE PHONE
2018-04-15,2018,1,P/M/A24,MOBILE PAYMENTS,MOBILE,1,950.9,1450.9,BUDGET PHONE
2018-04-15,2018,1,P/M/A26,CASH,MOBILE,1,2357.14,2857.14,BUDGET PHONE
2018-06-29,2018,1,P/M/A63,DEBIT,MOBILE,1,14669.64,15169.64,MIDRANGE PHONE
2018-04-15,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-15,2018,1,P/M/A42,CREDIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-15,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-16,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-16,2018,1,P/A/22,CASH,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-04-16,2018,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
2018-04-16,2018,1,P/M/A24,DEBIT,MOBILE,1,950.9,1450.9,BUDGET PHONE
2018-04-16,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.43,51696.43,FLAGSHIP PHONE
2018-04-16,2018,1,P/M/A43,CREDIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-16,2018,1,P/M/A61,DEBIT,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-04-17,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-17,2018,1,P/A/47,DEBIT,ACCESSORY,1,2041.52,2541.52,WIRELESS HEADSET
2018-04-17,2018,1,P/A/48,MOBILE PAYMENTS,ACCESSORY,1,770.34,1270.34,WIRELESS HEADSET
2018-04-17,2018,1,P/M/A53,CASH,MOBILE,1,5392.86,5892.86,BUDGET PHONE
2018-04-17,2018,1,P/M/A54,MOBILE PAYMENTS,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-17,2018,1,P/M/A74,MOBILE PAYMENTS,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
2018-04-18,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-18,2018,1,P/M/A34,CREDIT,MOBILE,1,12446.42,12946.42,BUDGET PHONE
2018-04-18,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12446.42,12946.42,BUDGET PHONE
2018-04-18,2018,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-18,2018,1,P/M/A34,DEBIT,MOBILE,1,12446.42,12946.42,BUDGET PHONE
2018-04-18,2018,1,P/M/A34,CASH,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-18,2018,1,P/M/A43,CREDIT,MOBILE,1,57446.43,57946.43,FLAGSHIP PHONE
2018-04-18,2018,1,P/M/A53,DEBIT,MOBILE,1,5392.86,5892.86,BUDGET PHONE
2018-04-19,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-19,2018,1,P/A/26,DEBIT,ACCESSORY,1,2169.5,2669.5,CHARGER 
2018-04-19,2018,1,P/A/28,CREDIT,ACCESSORY,1,2042.37,2542.37,CHARGER 
2018-04-19,2018,1,P/M/A32,CASH,MOBILE,1,11910.72,12410.72,BUDGET PHONE
2018-04-19,2018,1,P/M/A40,CREDIT,MOBILE,1,44133.93,44633.93,PREMIUM MIDRANGE PHONE
2018-04-19,2018,1,P/M/A43,DEBIT,MOBILE,1,64589.28,65089.28,FLAGSHIP PHONE
2018-04-19,2018,1,P/M/A61,CREDIT,MOBILE,1,8428.58,8928.58,BUDGET PHONE
2018-04-20,2018,1,P/M/A31,MOBILE PAYMENTS,MOBILE,1,10205.36,10705.36,BUDGET PHONE
2018-04-20,2018,1,P/M/A43,CREDIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-20,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-20,2018,1,P/M/A61,CASH,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-04-21,2018,1,P/A/15,MOBILE PAYMENTS,ACCESSORY,1,514.84,1014.84,BATTERY
2018-04-21,2018,1,P/A/17,CREDIT,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-21,2018,1,P/A/33,CASH,ACCESSORY,1,432.2,932.2,COVER
2018-04-21,2018,1,P/A/47,MOBILE PAYMENTS,ACCESSORY,1,1788.14,2288.14,WIRELESS HEADSET
2018-04-21,2018,1,P/M/A26,MOBILE PAYMENTS,MOBILE,1,2379.46,2879.46,BUDGET PHONE
2018-04-21,2018,1,P/M/A40,DEBIT,MOBILE,1,44133.93,44633.93,PREMIUM MIDRANGE PHONE
2018-04-21,2018,1,P/M/A61,CREDIT,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-04-22,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-22,2018,1,P/A/36,DEBIT,ACCESSORY,1,2042.38,2542.38,COVER
2018-04-22,2018,1,P/M/A25,MOBILE PAYMENTS,MOBILE,1,1330.36,1830.36,BUDGET PHONE
2018-04-22,2018,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-22,2018,1,P/M/A40,DEBIT,MOBILE,1,44133.93,44633.93,PREMIUM MIDRANGE PHONE
2018-04-22,2018,1,P/M/A40,DEBIT,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-04-22,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-04-22,2018,1,P/M/A61,CREDIT,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-04-23,2018,1,P/M/A29,MOBILE PAYMENTS,MOBILE,1,571.42,1071.42,BUDGET PHONE
2018-04-23,2018,1,P/M/A31,CASH,MOBILE,1,10205.36,10705.36,BUDGET PHONE
2018-04-23,2018,1,P/M/A33,MOBILE PAYMENTS,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-04-23,2018,1,P/M/A40,CASH,MOBILE,1,44133.93,44633.93,PREMIUM MIDRANGE PHONE
2018-04-24,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-24,2018,1,P/A/21,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
2018-04-24,2018,1,P/M/A25,MOBILE PAYMENTS,MOBILE,1,1366.08,1866.08,BUDGET PHONE
2018-04-24,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-04-25,2018,1,P/A/35,MOBILE PAYMENTS,ACCESSORY,1,1288.14,1788.14,COVER
2018-04-25,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-25,2018,1,P/M/A43,DEBIT,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-26,2018,1,P/A/47,DEBIT,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
2018-04-26,2018,1,P/A/47,MOBILE PAYMENTS,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
2018-04-26,2018,1,P/M/A74,DEBIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
2018-04-27,2018,1,P/A/47,CASH,ACCESSORY,1,1449.16,1949.16,WIRELESS HEADSET
2018-04-27,2018,1,P/M/A33,MOBILE PAYMENTS,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-04-27,2018,1,P/M/A33,CREDIT,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-04-27,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-27,2018,1,P/M/A43,CREDIT,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-27,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,10205.36,10705.36,BUDGET PHONE
2018-04-28,2018,1,P/M/A23,DEBIT,MOBILE,1,750.0,1250.0,BUDGET PHONE
2018-04-28,2018,1,P/M/A33,MOBILE PAYMENTS,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-04-28,2018,1,P/M/A40,CASH,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-04-28,2018,1,P/M/A54,CASH,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-29,2018,1,P/A/21,DEBIT,ACCESSORY,1,516.94,1016.94,CHARGER 
2018-04-29,2018,1,P/A/22,DEBIT,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-04-29,2018,1,P/M/A42,MOBILE PAYMENTS,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-04-29,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-04-29,2018,1,P/M/A54,MOBILE PAYMENTS,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-04-30,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-04-30,2018,1,P/M/A42,CREDIT,MOBILE,1,54767.86,55267.86,FLAGSHIP PHONE
2018-04-30,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-05-01,2018,1,P/A/17,DEBIT,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-01,2018,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-05-02,2018,1,P/A/36,CASH,ACCESSORY,1,2042.38,2542.38,COVER
2018-05-03,2018,1,P/A/12,MOBILE PAYMENTS,ACCESSORY,1,553.9,1053.9,BATTERY
2018-05-03,2018,1,P/M/A34,CREDIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-05-03,2018,1,P/M/A55,CASH,MOBILE,1,6812.5,7312.5,BUDGET PHONE
2018-05-04,2018,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-05-04,2018,1,P/M/A43,DEBIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-05-05,2018,1,P/A/17,DEBIT,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-05,2018,1,P/A/35,DEBIT,ACCESSORY,1,1618.64,2118.64,COVER
2018-05-05,2018,1,P/M/A43,CREDIT,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-05-05,2018,1,P/M/A53,MOBILE PAYMENTS,MOBILE,1,5392.86,5892.86,BUDGET PHONE
2018-05-06,2018,1,P/A/35,MOBILE PAYMENTS,ACCESSORY,1,1788.14,2288.14,COVER
2018-05-06,2018,1,P/A/48,CREDIT,ACCESSORY,1,770.34,1270.34,WIRELESS HEADSET
2018-05-06,2018,1,P/A/9,CASH,ACCESSORY,1,18983.06,19483.06,GALAXY WATCH
2018-05-06,2018,1,P/M/A34,MOBILE PAYMENTS,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-05-06,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-05-06,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,10214.28,10714.28,BUDGET PHONE
2018-05-07,2018,1,P/A/35,MOBILE PAYMENTS,ACCESSORY,1,1618.64,2118.64,COVER
2018-05-07,2018,1,P/A/47,CASH,ACCESSORY,1,1618.64,2118.64,WIRELESS HEADSET
2018-05-07,2018,1,P/M/A40,CREDIT,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-05-08,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-08,2018,1,P/A/22,DEBIT,ACCESSORY,1,516.1,1016.1,CHARGER 
2018-05-08,2018,1,P/A/35,MOBILE PAYMENTS,ACCESSORY,1,1838.98,2338.98,COVER
2018-05-08,2018,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
2018-05-08,2018,1,P/M/A33,CASH,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-05-08,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,64589.28,65089.28,FLAGSHIP PHONE
2018-05-08,2018,1,P/M/A53,MOBILE PAYMENTS,MOBILE,1,5392.86,5892.86,BUDGET PHONE
2018-05-08,2018,1,P/M/A74,DEBIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
2018-05-09,2018,1,P/M/A40,CREDIT,MOBILE,1,44133.92,44633.92,PREMIUM MIDRANGE PHONE
2018-05-09,2018,1,P/M/A62,DEBIT,MOBILE,1,13361.6,13861.6,BUDGET PHONE
2018-05-09,2018,1,P/T/S3,MOBILE PAYMENTS,TABLET,4,12211.86,50847.46,BUDGET TABLET
2018-05-09,2018,1,P/T/S3,DEBIT,TABLET,11,12211.86,139830.51,BUDGET TABLET
2018-05-10,2018,1,P/A/48,CREDIT,ACCESSORY,1,770.34,1270.34,WIRELESS HEADSET
2018-05-10,2018,1,P/M/A31,CREDIT,MOBILE,1,10125.0,10625.0,BUDGET PHONE
2018-05-10,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,57446.42,57946.42,FLAGSHIP PHONE
2018-05-11,2018,1,P/A/47,DEBIT,ACCESSORY,1,1703.38,2203.38,WIRELESS HEADSET
2018-05-11,2018,1,P/M/A54,CREDIT,MOBILE,1,6375.0,6875.0,BUDGET PHONE
2018-05-12,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-05-12,2018,1,P/M/A55,DEBIT,MOBILE,1,6812.5,7312.5,BUDGET PHONE
2018-05-13,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-13,2018,1,P/M/A61,CASH,MOBILE,1,10205.36,10705.36,BUDGET PHONE
2018-05-14,2018,1,P/A/17,DEBIT,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-14,2018,1,P/A/35,DEBIT,ACCESSORY,1,2295.76,2795.76,COVER
2018-05-14,2018,1,P/M/A61,DEBIT,MOBILE,1,8160.71,8660.71,BUDGET PHONE
2018-05-14,2018,1,P/M/A74,CREDIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
2018-05-15,2018,1,P/M/A23,CASH,MOBILE,1,683.04,1183.04,BUDGET PHONE
2018-05-15,2018,1,P/M/A29,CASH,MOBILE,1,526.78,1026.78,BUDGET PHONE
2018-05-15,2018,1,P/M/A40,CASH,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-05-15,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-05-16,2018,1,P/A/35,CREDIT,ACCESSORY,1,1957.62,2457.62,COVER
2018-05-16,2018,1,P/M/A24,DEBIT,MOBILE,1,973.22,1473.22,BUDGET PHONE
2018-05-16,2018,1,P/M/A40,CASH,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-05-16,2018,1,P/M/A55,CREDIT,MOBILE,1,6812.5,7312.5,BUDGET PHONE
2018-05-16,2018,1,P/M/A74,DEBIT,MOBILE,1,59232.14,59732.14,FLAGSHIP PHONE
2018-05-17,2018,1,P/M/A33,DEBIT,MOBILE,1,11991.08,12491.08,BUDGET PHONE
2018-05-17,2018,1,P/M/A43,DEBIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
2018-05-18,2018,1,P/A/35,CASH,ACCESSORY,1,2295.76,2795.76,COVER
2018-05-18,2018,1,P/M/A29,DEBIT,MOBILE,1,571.42,1071.42,BUDGET PHONE
2018-05-18,2018,1,P/M/A40,CASH,MOBILE,1,40562.5,41062.5,PREMIUM MIDRANGE PHONE
2018-05-18,2018,1,P/M/A42,MOBILE PAYMENTS,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-05-18,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-05-18,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,10214.28,10714.28,BUDGET PHONE
2018-05-19,2018,1,P/A/22,MOBILE PAYMENTS,ACCESSORY,1,432.2,932.2,CHARGER 
2018-05-19,2018,1,P/A/47,CREDIT,ACCESSORY,1,1703.38,2203.38,WIRELESS HEADSET
2018-05-19,2018,1,P/M/A34,DEBIT,MOBILE,1,12803.58,13303.58,BUDGET PHONE
2018-05-19,2018,1,P/M/A42,DEBIT,MOBILE,1,51196.42,51696.42,FLAGSHIP PHONE
2018-05-19,2018,1,P/M/A55,CASH,MOBILE,1,6812.5,7312.5,BUDGET PHONE
2018-05-19,2018,1,P/M/A62,DEBIT,MOBILE,1,14232.14,14732.14,BUDGET PHONE
2018-05-20,2018,1,P/A/17,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-20,2018,1,P/A/17,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-20,2018,1,P/A/18,CASH,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-20,2018,1,P/M/A25,CREDIT,MOBILE,1,1285.72,1785.72,BUDGET PHONE
2018-05-20,2018,1,P/M/A29,CREDIT,MOBILE,30,410.71,27321.42,BUDGET PHONE
2018-05-20,2018,1,P/M/A38,MOBILE PAYMENTS,MOBILE,1,38250.0,38750.0,PREMIUM MIDRANGE PHONE
2018-05-20,2018,1,P/M/A61,MOBILE PAYMENTS,MOBILE,1,8160.72,8660.72,BUDGET PHONE
2018-05-22,2018,1,P/A/18,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-22,2018,1,P/A/18,CREDIT,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-22,2018,1,P/A/35,MOBILE PAYMENTS,ACCESSORY,1,1838.98,2338.98,COVER
2018-05-22,2018,1,P/A/35,CREDIT,ACCESSORY,1,1618.64,2118.64,COVER
2018-05-22,2018,1,P/M/A24,DEBIT,MOBILE,1,950.9,1450.9,BUDGET PHONE
2018-05-23,2018,1,P/A/18,MOBILE PAYMENTS,ACCESSORY,1,685.6,1185.6,BATTERY
2018-05-23,2018,1,P/A/7,MOBILE PAYMENTS,ACCESSORY,1,4584.74,5084.74,GALAXY WATCH
2018-05-23,2018,1,P/M/A33,CREDIT,MOBILE,1,11098.22,11598.22,BUDGET PHONE
2018-05-23,2018,1,P/M/A33,DEBIT,MOBILE,1,11098.22,11598.22,BUDGET PHONE
2018-05-23,2018,1,P/M/A54,MOBILE PAYMENTS,MOBILE,1,6375.0,6875.0,BUDGET PHONE
